id,name,league_id,created_at,updated_at
181,Swindon Supermarine,35,2012-03-14 17:25:56.135411,2012-03-14 17:25:56.135411
182,Basingstoke Town,11,2012-04-10 09:53:47.235337,2012-04-10 09:59:26.012077
183,Woking,9,2012-04-10 09:54:01.266053,2012-07-30 06:58:30.396202
184,Littlehampton Town,36,2012-04-10 10:02:17.257554,2012-04-10 10:05:26.724597
185,East Preston,36,2012-04-10 10:02:31.155754,2012-04-10 10:02:31.155754
187,Reading,5,2012-07-02 13:58:58.160043,2012-07-02 13:58:58.160043
188,Alfreton Town,9,2012-07-30 06:43:49.845468,2012-07-30 06:43:49.845468
189,AFC Telford,9,2012-07-30 06:44:34.07677,2012-07-30 06:44:34.07677
190,Cambridge United,9,2012-07-30 06:45:06.997897,2012-07-30 06:45:06.997897
191,Dartford,9,2012-07-30 06:45:35.480812,2012-07-30 06:45:35.480812
192,Forest Green Rovers,9,2012-07-30 06:48:33.433638,2012-07-30 06:48:33.433638
193,Kidderminster Harriers,9,2012-07-30 06:50:35.445683,2012-07-30 06:50:35.445683
194,Newport County,9,2012-07-30 06:52:30.11499,2012-07-30 06:52:30.11499
195,Nuneaton Borough,9,2012-07-30 06:53:28.542418,2012-07-30 06:53:28.542418
196,Stockport County,9,2012-07-30 06:57:47.406581,2012-07-30 06:57:47.406581
197,Tamworth,9,2012-07-30 06:58:14.814871,2012-07-30 06:58:14.814871
198,Altrincham,10,2012-07-30 07:13:17.567574,2012-07-30 07:13:17.567574
199,Bishop's Stortford,10,2012-07-30 07:13:47.677156,2012-07-30 07:13:47.677156
200,Brackley Town,10,2012-07-30 07:14:17.898681,2012-07-30 07:14:17.898681
201,Chester,10,2012-07-30 07:15:24.926632,2012-07-30 07:15:24.926632
202,Colwyn Bay,10,2012-07-30 07:16:58.994894,2012-07-30 07:16:58.994894
203,Corby Town,10,2012-07-30 07:17:33.418474,2012-07-30 07:17:33.418474
204,Droylsden,10,2012-07-30 07:18:10.112819,2012-07-30 07:18:10.112819
205,Gloucester City,10,2012-07-30 07:18:51.212851,2012-07-30 07:18:51.212851
206,Guiseley,10,2012-07-30 07:19:10.722191,2012-07-30 07:19:10.722191
207,Harrogate Town,10,2012-07-30 07:19:30.460522,2012-07-30 07:19:30.460522
